Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol,Perubahan
30/07/2020,6240,6135,6240,6055,80.53,1.71
29/07/2020,6135,6185,6185,6100,50.26,-0.81
28/07/2020,6185,6120,6200,6060,65.28,1.39
27/07/2020,6100,6100,6140,6000,41.97,0.00
24/07/2020,6100,6200,6200,6100,58.37,-1.61
23/07/2020,6200,6180,6215,6140,84.03,0.32
22/07/2020,6180,6210,6250,6130,44.73,-0.32
21/07/2020,6200,6100,6235,6100,84.16,0.98
20/07/2020,6140,6120,6160,6060,59.79,0.33
17/07/2020,6120,6135,6180,6040,73.35,-0.97
16/07/2020,6180,6150,6200,6140,66.52,0.49
15/07/2020,6150,6200,6240,6150,61.47,-0.81
14/07/2020,6200,6175,6200,6110,45.62,0.40
13/07/2020,6175,6230,6240,6140,86.01,-0.40
10/07/2020,6200,6100,6240,6080,67.22,1.64
09/07/2020,6100,6210,6240,6030,93.54,-1.61
08/07/2020,6200,5990,6265,5980,106.44,3.51
07/07/2020,5990,5940,5995,5900,74.17,0.93
06/07/2020,5935,5860,5935,5850,67.80,1.11
03/07/2020,5870,5870,5905,5840,52.22,0.00
02/07/2020,5870,5775,5870,5760,75.59,1.21
01/07/2020,5800,5700,5800,5675,63.96,1.84
30/06/2020,5695,5700,5740,5660,74.47,0.35
29/06/2020,5675,5640,5695,5585,48.80,0.53
26/06/2020,5645,5720,5760,5640,57.47,-1.40
25/06/2020,5725,5700,5745,5640,51.42,0.35
24/06/2020,5705,5650,5760,5640,57.33,1.51
23/06/2020,5620,5570,5660,5520,69.95,1.44
22/06/2020,5540,5595,5660,5530,51.59,-0.63
19/06/2020,5575,5600,5650,5545,110.07,-0.18
18/06/2020,5585,5720,5740,5585,68.03,-2.36
17/06/2020,5720,5800,5800,5680,79.80,-0.69
16/06/2020,5760,5580,5795,5580,91.52,4.73
15/06/2020,5500,5680,5710,5500,100.84,-3.00
12/06/2020,5670,5680,5680,5480,96.04,-0.18
11/06/2020,5680,5750,5810,5605,85.19,-2.07
10/06/2020,5800,5800,5865,5595,115.38,-0.09
09/06/2020,5805,5940,5995,5795,100.11,-1.61
08/06/2020,5900,5755,5925,5755,173.56,3.06
05/06/2020,5725,5790,5855,5585,88.16,-1.12
04/06/2020,5790,5780,5990,5600,236.16,0.17
03/06/2020,5780,5410,5780,5400,279.67,7.84
02/06/2020,5360,5260,5500,5240,181.37,3.28
29/05/2020,5190,5295,5295,5190,399.41,-1.98
28/05/2020,5295,5000,5320,5000,229.23,6.65
27/05/2020,4965,4970,5000,4855,151.75,-0.10
26/05/2020,4970,4775,5000,4775,176.08,4.30
20/05/2020,4765,4720,4800,4690,119.16,1.82
19/05/2020,4680,4840,4960,4680,128.50,-1.78
18/05/2020,4765,4800,4845,4750,140.00,-0.42
15/05/2020,4785,4920,4995,4680,205.79,-2.74
14/05/2020,4920,5070,5110,4905,131.27,-3.72
13/05/2020,5110,5160,5170,5085,94.97,-2.11
12/05/2020,5220,5340,5340,5030,118.66,-1.42
11/05/2020,5295,5245,5325,5245,40.62,0.95
08/05/2020,5245,5345,5400,5150,123.03,-2.05
06/05/2020,5355,5315,5370,5300,86.40,1.32
05/05/2020,5285,5220,5340,5200,118.64,1.25
04/05/2020,5220,5150,5300,5000,114.50,0.97
30/04/2020,5170,4880,5250,4880,174.08,6.60
29/04/2020,4850,4825,4850,4800,121.16,0.41
28/04/2020,4830,4960,4975,4805,180.49,-2.62
27/04/2020,4960,4940,5020,4855,151.10,0.81
24/04/2020,4920,5120,5140,4920,131.15,-3.91
23/04/2020,5120,5180,5245,5120,105.42,-0.49
22/04/2020,5145,5160,5235,5045,107.26,-0.29
21/04/2020,5160,5355,5355,5160,73.43,-3.64
20/04/2020,5355,5430,5500,5330,90.74,-1.29
17/04/2020,5425,5300,5445,5280,160.94,3.53
16/04/2020,5240,5485,5520,5185,176.99,-4.47
15/04/2020,5485,5515,5630,5445,95.34,-0.54
14/04/2020,5515,5505,5590,5445,95.80,0.27
13/04/2020,5500,5540,5615,5480,58.04,-1.70
09/04/2020,5595,5600,5695,5500,90.00,-0.71
08/04/2020,5635,5655,5660,5480,106.11,-0.35
07/04/2020,5655,5735,6100,5580,149.15,-1.39
06/04/2020,5735,5520,5740,5495,78.18,4.37
03/04/2020,5495,5460,5530,5365,110.51,1.57
02/04/2020,5410,5470,5470,5360,136.62,-1.28
01/04/2020,5480,5560,5750,5425,152.83,-0.81
31/03/2020,5525,5660,5710,5485,182.64,0.55
30/03/2020,5495,5480,5555,5155,159.96,-0.27
27/03/2020,5510,5360,5895,5355,269.68,4.36
26/03/2020,5280,4650,5395,4650,331.63,17.33
24/03/2020,4500,4450,4995,4450,253.97,1.58
23/03/2020,4430,4760,5000,4405,217.84,-6.44
20/03/2020,4735,4600,5385,4325,335.13,1.83
19/03/2020,4650,4995,4995,4650,264.42,-7.00
18/03/2020,5000,5120,5380,4765,180.05,-2.34
17/03/2020,5120,5495,5505,5120,212.20,-6.99
16/03/2020,5505,5660,5660,5315,150.55,-2.74
13/03/2020,5660,5560,5750,5175,211.69,1.80
12/03/2020,5560,5600,5640,5460,129.85,-4.96
11/03/2020,5850,5950,5980,5790,93.20,-1.27
10/03/2020,5925,5840,6010,5840,133.67,2.42
09/03/2020,5785,6000,6040,5785,140.89,-6.69
06/03/2020,6200,6350,6350,6200,77.84,-3.65
05/03/2020,6435,6540,6540,6340,77.58,-0.08
04/03/2020,6440,6315,6500,6260,83.03,1.90
03/03/2020,6320,6200,6350,6200,114.66,3.95
02/03/2020,6080,6290,6290,6035,144.87,-3.34
