Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan
30/07/2020,803.01,795.38,803.01,792.05,2.68,0.96
29/07/2020,795.38,799.68,800.38,793.46,1.81,-0.54
28/07/2020,799.68,800.36,807.09,796.70,1.64,-0.09
27/07/2020,800.36,791.14,800.36,790.44,1.66,1.17
24/07/2020,791.14,806.55,807.03,791.14,1.87,-1.91
23/07/2020,806.55,799.72,811.28,799.83,2.67,0.86
22/07/2020,799.72,800.48,806.51,797.58,2.45,-0.1
21/07/2020,800.48,785.83,806.63,784.96,2.48,1.86
20/07/2020,785.83,792.82,797.11,781.60,1.59,-0.88
17/07/2020,792.82,797.85,799.79,792.82,1.58,-0.63
16/07/2020,797.85,793.95,801.17,793.95,1.71,0.49
15/07/2020,793.95,795.33,804.06,793.50,2.1,-0.17
14/07/2020,795.33,791.85,798.28,790.65,1.79,0.44
13/07/2020,791.85,784.56,794.28,782.56,1.57,0.93
10/07/2020,784.56,789.53,794.05,784.56,1.59,-0.63
09/07/2020,789.53,796.59,804.10,789.24,2.54,-0.89
08/07/2020,796.59,775.90,798.72,775.81,2.68,2.67
07/07/2020,775.90,775.30,781.59,774.74,2.14,0.08
06/07/2020,775.30,770.96,778.51,770.65,2.03,0.56
03/07/2020,770.96,769.82,775.48,769.14,2.12,0.15
02/07/2020,769.82,759.38,769.82,759.38,2.48,1.37
01/07/2020,759.38,756.20,760.78,753.49,1.52,0.42
30/06/2020,756.20,759.62,766.15,756.20,2.04,-0.45
29/06/2020,759.62,760.30,762.34,751.94,1.54,-0.09
26/06/2020,760.30,760.04,770.08,758.42,1.78,0.03
25/06/2020,760.04,771.91,771.91,757.02,1.76,-1.54
24/06/2020,771.91,754.31,775.30,754.31,2.64,2.33
23/06/2020,754.31,761.21,762.59,752.54,1.81,-0.91
22/06/2020,761.21,767.44,769.74,758.30,1.51,-0.81
19/06/2020,767.44,761.98,772.67,761.98,2.1,0.72
18/06/2020,761.98,775.46,777.99,761.98,2.31,-1.74
17/06/2020,775.46,776.03,782.61,770.85,2.48,-0.07
16/06/2020,776.03,739.86,777.20,739.86,2.96,4.89
15/06/2020,739.86,752.11,760.47,738.27,2.74,-1.63
12/06/2020,752.11,745.31,753.09,715.90,3.41,0.91
11/06/2020,745.31,758.95,762.28,736.34,2.89,-1.8
10/06/2020,758.95,782.64,782.92,754.20,3.48,-3.03
09/06/2020,782.64,795.29,808.98,782.64,3.46,-1.59
08/06/2020,795.29,770.67,803.78,770.67,4.36,3.19
05/06/2020,770.67,764.61,772.83,748.23,3.6,0.79
04/06/2020,764.61,770.66,786.17,760.21,4.38,-0.79
03/06/2020,770.66,749.52,772.07,748.19,4.96,2.82
02/06/2020,749.52,725.83,757.91,725.83,3.99,3.26
29/05/2020,725.83,709.36,725.83,706.18,6.98,2.32
28/05/2020,709.36,693.85,716.18,693.42,3.36,2.91
26/05/2020,689.33,672.14,691.49,671.20,2.24,2.56
20/05/2020,672.14,671.07,675.10,664.18,1.59,0.16
19/05/2020,671.07,660.47,683.70,660.47,2.23,1.61
