Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
30/07/2020,3050,3040,3050,3000,"95,79M","1,67%"
29/07/2020,3000,3030,3050,3000,"114,35M","-0,66%"
28/07/2020,3020,3050,3050,3010,"102,71M","-0,66%"
27/07/2020,3040,3020,3050,3020,"58,71M","0,66%"
24/07/2020,3020,3080,3080,3020,"137,27M","-1,63%"
23/07/2020,3070,3070,3090,3060,"70,48M","0,00%"
22/07/2020,3070,3070,3090,3060,"69,46M","0,33%"
21/07/2020,3060,3050,3110,3050,"101,28M","0,00%"
20/07/2020,3060,3080,3080,3040,"64,74M","0,00%"
17/07/2020,3060,3100,3110,3060,"112,42M","-1,29%"
16/07/2020,3100,3090,3110,3080,"91,95M","0,32%"
15/07/2020,3090,3120,3130,3080,"102,30M","0,32%"
14/07/2020,3080,3100,3110,3070,"111,44M","-0,32%"
13/07/2020,3090,3120,3130,3080,"77,73M","-0,64%"
10/07/2020,3110,3110,3130,3100,"95,42M","0,00%"
09/07/2020,3110,3170,3190,3110,"125,94M","-1,27%"
08/07/2020,3150,3130,3160,3110,"158,17M","0,96%"
07/07/2020,3120,3060,3120,3050,"169,10M","2,30%"
06/07/2020,3050,3130,3150,3040,"248,57M","-2,24%"
03/07/2020,3120,3150,3180,3110,"102,03M","-0,64%"
02/07/2020,3140,3040,3140,3040,"178,36M","3,29%"
01/07/2020,3040,3070,3100,3010,"148,04M","-0,33%"
30/06/2020,3050,3090,3100,3050,"258,07M","-4,09%"
29/06/2020,3180,3200,3250,3160,"156,61M","-0,31%"
26/06/2020,3190,3190,3220,3180,"100,78M","0,95%"
25/06/2020,3160,3160,3220,3140,"100,88M","-0,63%"
24/06/2020,3180,3150,3230,3140,"170,90M","1,60%"
23/06/2020,3130,3200,3200,3120,"167,27M","-2,19%"
22/06/2020,3200,3290,3300,3180,"159,78M","-2,44%"
19/06/2020,3280,3300,3340,3250,"227,36M","0,00%"
18/06/2020,3280,3210,3350,3180,"235,59M","2,18%"
17/06/2020,3210,3210,3230,3140,"177,78M","0,31%"
16/06/2020,3200,3150,3220,3130,"194,42M","3,56%"
15/06/2020,3090,3060,3150,3030,"241,63M","1,98%"
