Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
31/08/2020,8225.00,8275.00,8275.00,8150.00,"17,34M","-0,30%"
28/08/2020,8250.00,8250.00,8275.00,8200.00,"13,21M","0,00%"
27/08/2020,8250.00,8200.00,8250.00,8175.00,"11,34M","0,61%"
26/08/2020,8200.00,8200.00,8250.00,8200.00,"14,12M","0,00%"
25/08/2020,8200.00,8175.00,8250.00,8175.00,"11,60M","0,31%"
24/08/2020,8175.00,8225.00,8275.00,8175.00,"8,03M","-0,30%"
19/08/2020,8200.00,8225.00,8275.00,8200.00,"9,95M","-0,30%"
18/08/2020,8225.00,8225.00,8250.00,8175.00,"12,27M","0,30%"
14/08/2020,8200.00,8175.00,8250.00,8150.00,"13,07M","0,31%"
13/08/2020,8175.00,8075.00,8175.00,8050.00,"11,27M","1,55%"
12/08/2020,8050.00,8075.00,8125.00,8025.00,"11,45M","0,00%"
11/08/2020,8050.00,8125.00,8150.00,8050.00,"16,66M","-0,62%"
10/08/2020,8100.00,8125.00,8200.00,8100.00,"7,98M","-0,31%"
07/08/2020,8125.00,8175.00,8225.00,8075.00,"8,99M","-0,61%"
06/08/2020,8175.00,8275.00,8300.00,8150.00,"12,41M","-0,91%"
05/08/2020,8250.00,8225.00,8250.00,8100.00,"10,47M","0,30%"
04/08/2020,8225.00,8350.00,8350.00,8150.00,"13,25M","-0,30%"
03/08/2020,8250.00,8400.00,8450.00,8100.00,"19,13M","-1,79%"
30/07/2020,8400.00,8250.00,8400.00,8200.00,"19,71M","1,82%"
29/07/2020,8250.00,8150.00,8300.00,8125.00,"18,79M","1,23%"
28/07/2020,8150.00,8075.00,8150.00,8075.00,"16,67M","0,93%"
27/07/2020,8075.00,8100.00,8100.00,8000.00,"6,39M","0,31%"
24/07/2020,8050.00,8075.00,8100.00,8000.00,"12,21M","0,00%"
23/07/2020,8050.00,8025.00,8075.00,7975.00,"18,41M","0,63%"
22/07/2020,8000.00,8100.00,8200.00,8000.00,"10,73M","0,00%"
21/07/2020,8000.00,8125.00,8125.00,8000.00,"12,48M","-1,54%"
20/07/2020,8125.00,8125.00,8150.00,8025.00,"9,06M","0,00%"
17/07/2020,8125.00,8100.00,8125.00,7900.00,"5,34M","0,31%"
16/07/2020,8100.00,8050.00,8150.00,8050.00,"10,66M","0,62%"
15/07/2020,8050.00,8100.00,8125.00,8050.00,"10,77M","-0,31%"
14/07/2020,8075.00,8025.00,8100.00,8000.00,"6,44M","0,62%"
13/07/2020,8025.00,7950.00,8050.00,7925.00,"7,82M","1,26%"
10/07/2020,7925.00,7950.00,8000.00,7925.00,"9,37M","-0,63%"
09/07/2020,7975.00,8100.00,8175.00,7975.00,"12,86M","-1,54%"
08/07/2020,8100.00,7925.00,8150.00,7900.00,"19,07M","2,21%"
07/07/2020,7925.00,7925.00,8000.00,7850.00,"14,18M","0,32%"
06/07/2020,7900.00,7950.00,8000.00,7875.00,"17,78M","0,00%"
03/07/2020,7900.00,8000.00,8075.00,7900.00,"8,39M","-1,86%"
02/07/2020,8050.00,7800.00,8050.00,7800.00,"15,08M","3,21%"
01/07/2020,7800.00,7925.00,7950.00,7750.00,"10,73M","-1,27%"
30/06/2020,7900.00,7925.00,8000.00,7850.00,"10,39M","-0,32%"
29/06/2020,7925.00,7925.00,7950.00,7800.00,"11,38M","0,32%"
26/06/2020,7900.00,8025.00,8025.00,7825.00,"15,57M","0,00%"
25/06/2020,7900.00,8050.00,8100.00,7900.00,"13,07M","-2,17%"
24/06/2020,8075.00,8050.00,8125.00,8000.00,"10,74M","0,94%"
23/06/2020,8000.00,8050.00,8100.00,8000.00,"5,95M","-0,62%"
22/06/2020,8050.00,8150.00,8150.00,8025.00,"11,49M","0,00%"
19/06/2020,8050.00,8100.00,8150.00,8050.00,"12,76M","0,00%"
18/06/2020,8050.00,8225.00,8225.00,8050.00,"15,20M","-2,72%"
17/06/2020,8275.00,8275.00,8325.00,8150.00,"10,80M","0,00%"
16/06/2020,8275.00,8325.00,8400.00,8250.00,"12,20M","0,00%"
15/06/2020,8275.00,8200.00,8300.00,8175.00,"14,16M","0,91%"
