Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,3160.000000,3250.000000,3090.000000,3250.000000,3219.857910,8700000
2020-02-04,3250.000000,3330.000000,3240.000000,3300.000000,3269.394287,11726300
2020-02-05,3300.000000,3310.000000,3250.000000,3300.000000,3269.394287,4691800
2020-02-06,3350.000000,3350.000000,3280.000000,3310.000000,3279.301514,4690400
2020-02-07,3310.000000,3320.000000,3280.000000,3310.000000,3279.301514,4336400
2020-02-10,3250.000000,3310.000000,3240.000000,3260.000000,3229.765137,5749300
2020-02-11,3300.000000,3300.000000,3280.000000,3290.000000,3259.487061,2512000
2020-02-12,3300.000000,3300.000000,3270.000000,3280.000000,3249.579590,3748800
2020-02-13,3290.000000,3300.000000,3150.000000,3180.000000,3150.507080,3285400
2020-02-14,3180.000000,3200.000000,3120.000000,3130.000000,3100.970947,1566400
2020-02-17,3140.000000,3140.000000,3040.000000,3090.000000,3061.341797,7290100
2020-02-18,3070.000000,3150.000000,3060.000000,3090.000000,3061.341797,4467500
2020-02-19,3090.000000,3110.000000,3030.000000,3040.000000,3011.805664,5381600
2020-02-20,3060.000000,3130.000000,3060.000000,3120.000000,3091.063721,8775800
2020-02-21,3140.000000,3160.000000,3030.000000,3060.000000,3031.620117,7151700
2020-02-24,3020.000000,3050.000000,2990.000000,3010.000000,2982.083740,5082600
2020-02-25,3000.000000,3040.000000,2980.000000,3000.000000,2972.176514,3277800
2020-02-26,2990.000000,3010.000000,2780.000000,2870.000000,2843.382324,10357500
2020-02-27,2870.000000,2870.000000,2610.000000,2620.000000,2595.700928,16618700
2020-02-28,2540.000000,2540.000000,2290.000000,2450.000000,2427.277588,16567700
2020-03-02,2520.000000,2550.000000,2350.000000,2500.000000,2476.813721,12477900
2020-03-03,2570.000000,2730.000000,2530.000000,2720.000000,2694.773438,18538700
2020-03-04,2720.000000,2760.000000,2630.000000,2710.000000,2684.866211,9474100
2020-03-05,2750.000000,2780.000000,2630.000000,2670.000000,2645.237061,10288500
2020-03-06,2620.000000,2620.000000,2540.000000,2570.000000,2546.164551,6116600
2020-03-09,2450.000000,2450.000000,2200.000000,2230.000000,2209.317871,13198500
2020-03-10,2290.000000,2400.000000,2230.000000,2320.000000,2298.483154,18329000
2020-03-11,2320.000000,2320.000000,2100.000000,2180.000000,2159.781738,15679400
2020-03-12,2060.000000,2060.000000,1930.000000,1930.000000,1912.100220,9482500
2020-03-13,1930.000000,1930.000000,1930.000000,1930.000000,1912.100220,0
2020-03-16,1880.000000,1880.000000,1780.000000,1780.000000,1763.491455,4016600
2020-03-17,1780.000000,1780.000000,1660.000000,1660.000000,1644.604370,3715000
2020-03-18,1650.000000,1650.000000,1545.000000,1545.000000,1530.670898,4857000
2020-03-19,1440.000000,1440.000000,1440.000000,1440.000000,1426.644775,2047900
2020-03-20,1435.000000,1600.000000,1340.000000,1510.000000,1495.995483,25660600
2020-03-23,1480.000000,1520.000000,1405.000000,1450.000000,1436.552002,9162600
2020-03-24,1500.000000,1650.000000,1450.000000,1605.000000,1590.114502,14151400
2020-03-26,1630.000000,1995.000000,1625.000000,1890.000000,1872.471191,15380800
2020-03-27,1970.000000,2070.000000,1950.000000,2000.000000,1981.451050,20310500
2020-03-30,1960.000000,2090.000000,1860.000000,2020.000000,2001.265503,8084300
2020-03-31,2060.000000,2230.000000,2060.000000,2160.000000,2139.967041,9181300
2020-04-01,2160.000000,2270.000000,2010.000000,2030.000000,2011.172852,10298300
2020-04-02,2000.000000,2220.000000,1930.000000,2210.000000,2189.503418,10698500
2020-04-03,2220.000000,2370.000000,2220.000000,2320.000000,2298.483154,9716800
2020-04-06,2360.000000,2470.000000,2250.000000,2460.000000,2437.184814,13180800
2020-04-07,2560.000000,2580.000000,2300.000000,2310.000000,2288.575928,13993800
2020-04-08,2320.000000,2320.000000,2150.000000,2210.000000,2189.503418,7703100
2020-04-09,2260.000000,2290.000000,2070.000000,2270.000000,2248.947021,4405800
2020-04-13,2290.000000,2370.000000,2220.000000,2370.000000,2348.019531,5787100
2020-04-14,2370.000000,2530.000000,2370.000000,2510.000000,2486.720947,10435700
2020-04-15,2500.000000,2570.000000,2360.000000,2460.000000,2437.184814,14492700
2020-04-16,2440.000000,2440.000000,2290.000000,2290.000000,2268.761475,19500100
2020-04-17,2350.000000,2540.000000,2320.000000,2500.000000,2476.813721,24556700
2020-04-20,2550.000000,2660.000000,2460.000000,2510.000000,2486.720947,33597900
2020-04-21,2550.000000,2550.000000,2400.000000,2430.000000,2407.462891,10928300
2020-04-22,2370.000000,2410.000000,2330.000000,2390.000000,2367.833984,11924400
2020-04-23,2440.000000,2460.000000,2370.000000,2390.000000,2367.833984,7813500
2020-04-24,2420.000000,2440.000000,2330.000000,2350.000000,2328.205078,7060500
2020-04-27,2410.000000,2430.000000,2370.000000,2390.000000,2367.833984,2515300
2020-04-28,2410.000000,2410.000000,2340.000000,2350.000000,2328.205078,4570500
2020-04-29,2400.000000,2430.000000,2370.000000,2380.000000,2357.926758,6247900
2020-04-30,2420.000000,2570.000000,2400.000000,2570.000000,2546.164551,20237300
2020-05-04,2490.000000,2760.000000,2450.000000,2650.000000,2625.422607,33216400
2020-05-05,2670.000000,2740.000000,2660.000000,2700.000000,2674.958984,10415100
2020-05-06,2740.000000,2850.000000,2700.000000,2830.000000,2803.753174,20558000
