"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2020","10,050","10,050","10,400","9,800","3.05M","0.00%"
"Feb 04, 2020","10,150","10,100","10,350","10,075","1.37M","1.00%"
"Feb 05, 2020","10,450","10,375","10,550","10,375","2.81M","2.96%"
"Feb 06, 2020","10,525","10,750","10,775","10,475","1.86M","0.72%"
"Feb 07, 2020","10,425","10,525","10,550","10,325","1.15M","-0.95%"
"Feb 10, 2020","10,150","10,400","10,400","10,100","1.63M","-2.64%"
"Feb 11, 2020","10,150","10,125","10,250","10,025","1.43M","0.00%"
"Feb 12, 2020","10,075","10,250","10,275","10,050","1.47M","-0.74%"
"Feb 13, 2020","10,150","10,200","10,200","10,050","940.40K","0.74%"
"Feb 14, 2020","10,050","10,100","10,175","10,025","1.16M","-0.99%"
"Feb 17, 2020","10,500","10,125","10,500","10,075","1.85M","4.48%"
"Feb 18, 2020","10,950","10,525","10,975","10,525","2.08M","4.29%"
"Feb 19, 2020","10,800","10,925","10,925","10,675","1.31M","-1.37%"
"Feb 20, 2020","10,925","10,800","11,075","10,775","1.96M","1.16%"
"Feb 21, 2020","10,575","10,850","10,850","10,475","1.62M","-3.20%"
"Feb 24, 2020","10,650","10,400","10,675","10,300","1.93M","0.71%"
"Feb 25, 2020","11,000","10,600","11,175","10,450","3.50M","3.29%"
"Feb 26, 2020","11,150","10,650","11,175","10,650","2.55M","1.36%"
"Feb 27, 2020","11,025","11,175","11,350","10,525","3.22M","-1.12%"
"Feb 28, 2020","11,300","10,725","11,300","10,325","3.84M","2.49%"
"Mar 02, 2020","10,875","11,150","11,225","10,700","2.51M","-3.76%"
"Mar 03, 2020","11,050","10,875","11,200","10,875","2.90M","1.61%"
"Mar 04, 2020","10,950","10,850","11,200","10,825","2.94M","-0.90%"
"Mar 05, 2020","10,900","10,950","11,150","10,875","1.20M","-0.46%"
"Mar 06, 2020","10,425","10,700","10,800","10,400","2.15M","-4.36%"
"Mar 09, 2020","9,550","10,000","10,125","9,550","2.65M","-8.39%"
"Mar 10, 2020","9,500","9,450","9,925","9,450","2.34M","-0.52%"
"Mar 11, 2020","9,025","9,500","9,650","9,025","1.71M","-5.00%"
"Mar 12, 2020","8,300","8,900","8,900","8,300","1.70M","-8.03%"
"Mar 13, 2020","7,975","8,200","8,200","7,725","2.63M","-3.92%"
"Mar 16, 2020","7,450","8,000","8,000","7,425","1.20M","-6.58%"
"Mar 17, 2020","6,950","7,250","7,300","6,950","3.49M","-6.71%"
"Mar 18, 2020","6,475","6,950","6,950","6,475","2.23M","-6.83%"
"Mar 19, 2020","6,025","6,350","6,350","6,025","1.77M","-6.95%"
"Mar 20, 2020","6,825","6,000","6,950","5,650","3.41M","13.28%"
"Mar 23, 2020","6,400","6,500","7,100","6,350","4.59M","-6.23%"
"Mar 24, 2020","6,650","6,400","7,000","6,400","2.48M","3.91%"
"Mar 26, 2020","7,650","6,750","7,800","6,750","3.79M","15.04%"
